,field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36,br_url,col_games,col_minutes,intl_games,intl_minutes,intl_group,game_score
12,162,20300008,2410,1610612754,Fred,Jones,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,W,2003,1610612765,0,0,0,0,0,0,0,0,5,0,-4,0,0,0,0,0,0,0,0,0,fred-jones-1,125,3525,,,,-0.7
13,163,20300008,2419,1610612765,Tayshaun,Prince,37,6,9,0.667,1,1,1,3,4,0.75,1,4,0,1,0,3,0,16,H,L,2003,1610612754,0,0,0,0,4,3,0,0,37,0,-5,1,2,4,5,15.56756757,4.864864865,0,0,0.972972973,tayshaun-prince-1,135,4023,,,,10.2
14,180,20300009,2429,1610612749,Dan,Gadzuric,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,A,L,2003,1610612750,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,9,dan-gadzuric-1,122,2940,,,,-2.2
15,197,20300010,2407,1610612764,Jared,Jeffries,12,0,2,0,0,0,0,1,4,0.25,2,1,1,0,2,1,0,1,A,W,2003,1610612741,0,0,0,0,0,0,0,0,12,0,7,0,1,0,3,3,9,3,6,0,jared-jeffries-1,70,2282,,,,1.8
16,198,20300010,2413,1610612764,Juan,Dixon,18,3,8,0.375,1,2,0.5,4,4,1,1,2,2,1,3,4,0,11,A,W,2003,1610612741,0,0,0,0,2,0,0,0,18,0,14,1,4,2,3,22,6,4,6,2,juan-dixon-1,141,4004,,,,7.9
17,199,20300010,2427,1610612741,Roger,Mason,10,0,4,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,H,L,2003,1610612764,0,0,0,0,0,0,0,0,10,0,-5,0,0,0,0,0,0,3.6,0,0,roger-mason-1,89,2634,,,,-2.9
18,200,20300010,2437,1610612741,Lonny,Baxter,19,1,1,1,0,0,0,4,6,0.667,2,5,1,6,0,2,2,6,H,L,2003,1610612764,0,0,0,0,2,0,0,0,19,0,1,0,2,2,7,11.36842105,13.26315789,1.894736842,0,0,lonny-baxter-1,138,3367,,,,5.5
19,218,20300011,1938,1610612759,Manu,Ginobili,37,4,12,0.333,2,4,0.5,4,4,1,3,3,6,5,2,3,1,14,A,L,2003,1610612743,0,0,0,0,2,8,0,0,37,0,-6,0,0,2,6,13.62162162,5.837837838,5.837837838,1.945945946,0,manu-ginobili-1,,,144,4341,4,12.1
20,221,20300011,2401,1610612743,Nikoloz,Tskitishvili,10,3,8,0.375,0,0,0,0,0,0,1,1,2,2,0,1,1,6,H,W,2003,1610612759,0,0,0,0,0,0,0,0,10,0,4,0,0,0,2,21.6,7.2,7.2,0,0,nikoloz-tskitishvili-1,,,17,176,1,2.9
21,222,20300011,2403,1610612743,Nene,Hilario,33,3,10,0.3,0,0,0,6,7,0.857,5,6,2,5,2,4,1,12,H,W,2003,1610612759,0,0,0,0,6,0,0,1,33,0,11,3,0,10,11,13.09090909,12,2.181818182,2.181818182,3.272727273,nene-hilario-1,,,,,,9.2
22,259,20300013,2399,1610612744,Mike,Dunleavy,38,6,18,0.333,2,10,0.2,0,1,0,0,2,4,6,0,2,0,14,H,L,2003,1610612742,0,0,0,0,4,0,0,0,37,44,-16,1,3,0,2,13.26315789,1.894736842,3.789473684,0,0.947368421,mike-dunleavy-1,111,3762,,,,2.4
23,276,20300014,2430,1610612739,Carlos,Boozer,39,7,15,0.467,0,0,0,0,0,0,2,9,3,3,0,2,4,14,A,L,2003,1610612758,0,0,0,0,10,2,0,1,39,0,-8,1,2,4,11,12.92307692,10.15384615,2.769230769,0,0.923076923,carlos-boozer-1,101,2615,,,,12.1
24,290,20300015,2060,1610612746,Marko,Jaric,11,0,4,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,A,L,2003,1610612760,0,0,0,0,0,0,0,0,11,0,-2,1,0,0,1,0,3.272727273,3.272727273,0,3.272727273,marko-jaric-1,,,160,4395,4,-2.8
25,294,20300015,2404,1610612746,Chris,Wilcox,14,2,3,0.667,0,0,0,0,0,0,0,2,1,1,0,1,0,4,A,L,2003,1610612760,0,0,0,0,4,2,0,0,14,0,1,0,0,0,2,10.28571429,5.142857143,2.571428571,0,0,chris-wilcox-1,70,1162,,,,2.6
26,295,20300015,2436,1610612760,Ronald,Murray,34,10,17,0.588,2,6,0.333,2,4,0.5,2,2,1,3,1,1,1,24,H,W,2003,1610612746,0,0,0,0,12,4,0,0,34,0,4,1,4,3,4,25.41176471,4.235294118,1.058823529,1.058823529,1.058823529,ronald-murray-1,,,,,,17.5
27,313,20300016,1921,1610612753,Gordan,Giricek,14,1,4,0.25,0,0,0,2,2,1,0,1,0,1,0,0,0,4,H,L,2003,1610612740,0,0,0,0,2,0,0,0,13,52,-3,0,0,0,1,10.28571429,2.571428571,0,0,0,gordan-giricek-1,,,,,,1.5
28,316,20300016,2400,1610612753,Drew,Gooden,42,5,10,0.5,0,0,0,6,8,0.75,6,5,1,2,1,1,1,16,H,L,2003,1610612740,0,0,0,0,10,0,0,1,41,54,4,1,0,8,11,13.71428571,9.428571429,0.857142857,0.857142857,0.857142857,drew-gooden-1,98,2567,,,,16.5
29,337,20300017,2366,1610612745,Mike,Wilks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,W,2003,1610612743,0,0,0,0,0,0,0,0,1,0,-3,,0,0,0,0,0,0,0,0,mike-wilks-1,117,3767,,,,0
30,338,20300017,2397,1610612745,Ming,Yao,20,6,8,0.75,0,0,0,7,8,0.875,0,3,2,5,1,3,3,19,H,W,2003,1610612743,0,0,0,0,10,0,0,0,20,0,15,0,4,2,3,34.2,5.4,3.6,1.8,0,ming-yao-1,,,,,,15.8
31,339,20300017,2401,1610612743,Nikoloz,Tskitishvili,16,1,6,0.167,0,0,0,2,2,1,3,3,0,2,0,1,1,4,A,L,2003,1610612745,0,0,0,0,2,0,0,0,16,0,-3,0,0,2,6,9,13.5,0,0,0,nikoloz-tskitishvili-1,,,17,176,1,2.1
32,340,20300017,2403,1610612743,Nene,Hilario,31,4,5,0.8,0,0,0,5,6,0.833,2,2,1,5,3,2,2,13,A,L,2003,1610612745,0,0,0,0,6,0,0,0,31,0,-12,0,0,3,4,15.09677419,4.64516129,1.161290323,3.483870968,0,nene-hilario-1,,,,,,13.8
33,341,20300017,2411,1610612745,Bostjan,Nachbar,20,2,2,1,1,1,1,0,0,0,0,2,0,5,0,1,0,5,H,W,2003,1610612743,0,0,0,0,0,3,0,0,20,0,-8,0,0,0,2,9,3.6,0,0,0,bostjan-nachbar-1,,,98,1833,3,2
34,356,20300018,2405,1610612756,Amar'e,Stoudemire,39,7,17,0.412,0,0,0,11,14,0.786,2,6,0,3,1,2,4,25,H,W,2003,1610612739,0,1,0,0,12,0,0,0,39,0,8,2,5,4,8,23.07692308,7.384615385,0,0.923076923,1.846153846,amar'e-stoudemire-1,,,,,,18.5
35,357,20300018,2430,1610612739,Carlos,Boozer,34,5,9,0.556,0,0,0,1,1,1,1,13,2,4,1,1,0,11,A,L,2003,1610612756,0,0,0,0,10,0,0,1,34,0,-1,3,3,2,14,11.64705882,14.82352941,2.117647059,1.058823529,3.176470588,carlos-boozer-1,101,2615,,,,11.1
36,376,20300019,2407,1610612764,Jared,Jeffries,8,0,2,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,A,L,2003,1610612761,0,0,0,0,0,0,0,0,8,0,-7,0,0,0,1,0,4.5,0,4.5,0,jared-jeffries-1,70,2282,,,,-2.9
37,377,20300019,2413,1610612764,Juan,Dixon,16,1,5,0.2,0,1,0,0,0,0,0,1,2,0,1,0,0,2,A,L,2003,1610612761,0,0,0,0,0,2,0,0,16,0,-4,2,0,0,1,4.5,2.25,4.5,2.25,4.5,juan-dixon-1,141,4004,,,,1.6
38,397,20300020,2246,1610612765,Mehmet,Okur,21,1,5,0.2,0,0,0,1,4,0.25,2,2,1,4,0,3,2,3,A,W,2003,1610612748,0,0,0,0,2,0,0,0,21,5,-11,0,0,0,,5.142857143,0,1.714285714,0,0,mehmet-okur-1,,,,,,-1.8
39,399,20300020,2419,1610612765,Tayshaun,Prince,36,3,12,0.25,2,5,0.4,0,0,0,2,3,5,0,0,0,1,8,A,W,2003,1610612748,0,0,0,0,2,0,0,0,36,4,15,0,6,2,,8,0,5,0,0,tayshaun-prince-1,135,4023,,,,7.3
40,421,20300021,2410,1610612754,Fred,Jones,11,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,H,L,2003,1610612749,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,3.272727273,0,0,fred-jones-1,125,3525,,,,-1.9
41,494,20300025,2060,1610612746,Marko,Jaric,22,3,8,0.375,2,5,0.4,0,0,0,0,1,5,1,0,1,1,8,H,L,2003,1610612760,0,0,0,0,0,0,0,0,22,0,-15,0,0,0,1,13.09090909,1.636363636,8.181818182,0,0,marko-jaric-1,,,160,4395,4,6.7
42,498,20300025,2404,1610612746,Chris,Wilcox,21,5,8,0.625,0,0,0,3,3,1,4,0,2,5,0,0,0,13,H,L,2003,1610612760,0,0,0,0,8,0,0,0,21,0,-7,0,0,5,4,22.28571429,6.857142857,3.428571429,0,0,chris-wilcox-1,70,1162,,,,11.6
43,499,20300025,2408,1610612746,Melvin,Ely,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,H,L,2003,1610612760,0,0,0,0,2,0,0,0,3,0,2,0,2,0,0,24,0,12,0,0,melvin-ely-1,124,4030,,,,2
44,500,20300025,2436,1610612760,Ronald,Murray,39,8,19,0.421,2,6,0.333,4,4,1,2,3,7,1,2,1,0,22,A,W,2003,1610612746,0,0,0,0,8,0,0,0,39,0,11,2,6,2,5,20.30769231,4.615384615,6.461538462,1.846153846,1.846153846,ronald-murray-1,,,,,,19.7
45,520,20300026,2422,1610612755,John,Salmons,20,2,8,0.25,0,1,0,2,2,1,3,0,2,1,2,0,0,6,A,L,2003,1610612758,0,0,0,0,0,0,0,0,20,0,-1,1,2,2,3,10.8,5.4,3.6,3.6,1.8,john-salmons-1,124,3819,,,,6.3
46,541,20300027,2407,1610612764,Jared,Jeffries,18,3,9,0.333,0,0,0,3,4,0.75,3,4,1,1,1,1,0,9,H,L,2003,1610612751,0,0,0,0,0,0,0,0,18,0,12,2,2,2,7,18,14,2,2,4,jared-jeffries-1,70,2282,,,,7.1
47,542,20300027,2413,1610612764,Juan,Dixon,17,4,11,0.364,1,3,0.333,0,0,0,2,3,1,1,0,1,0,9,H,L,2003,1610612751,0,0,0,0,2,2,0,0,17,0,5,0,2,0,5,19.05882353,10.58823529,2.117647059,0,0,juan-dixon-1,141,4004,,,,4.5
48,561,20300028,2246,1610612765,Mehmet,Okur,14,1,5,0.2,0,0,0,2,2,1,4,4,0,1,0,1,0,4,A,W,2003,1610612753,0,0,0,0,2,2,0,0,14,0,5,0,0,0,8,10.28571429,20.57142857,0,0,0,mehmet-okur-1,,,,,,3.5
49,562,20300028,2400,1610612753,Drew,Gooden,41,4,12,0.333,0,0,0,2,2,1,3,7,1,3,2,2,0,10,H,L,2003,1610612765,0,0,0,0,4,0,0,1,41,0,-12,2,0,4,10,8.780487805,8.780487805,0.87804878,1.756097561,1.756097561,drew-gooden-1,98,2567,,,,6.9
50,563,20300028,2419,1610612765,Tayshaun,Prince,37,3,8,0.375,1,1,1,1,2,0.5,3,2,2,2,2,2,0,8,A,W,2003,1610612753,0,0,0,0,4,2,0,0,37,0,-3,0,1,2,5,7.783783784,4.864864865,1.945945946,1.945945946,0,tayshaun-prince-1,135,4023,,,,6.5
51,582,20300029,2410,1610612754,Fred,Jones,37,7,11,0.636,1,3,0.333,0,0,0,1,3,1,4,2,4,0,15,A,W,2003,1610612737,0,0,0,0,8,2,0,0,37,0,2,0,2,0,4,14.59459459,3.891891892,0.972972973,1.945945946,0,fred-jones-1,125,3525,,,,8.8
52,602,20300030,2412,1610612738,Jiri,Welsch,10,1,4,0.25,0,2,0,4,4,1,0,0,1,1,0,0,0,6,A,L,2003,1610612740,0,0,0,0,2,0,0,0,10,0,0,0,2,2,0,21.6,0,3.6,0,0,jiri-welsch-1,,,35,876,2,3.9
53,625,20300031,2423,1610612761,Chris,Jefferies,2,1,2,0.5,1,2,0.5,0,0,0,0,0,1,0,0,0,0,3,A,L,2003,1610612750,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,54,0,18,0,0,chris-jefferies-1,88,2464,,,,2.7
54,647,20300032,2409,1610612749,Marcus,Haislip,6,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,H,W,2003,1610612741,0,0,0,0,2,0,0,0,6,0,7,0,2,2,3,12,18,0,0,0,marcus-haislip-1,89,1521,,,,3
55,648,20300032,2427,1610612741,Roger,Mason,10,0,2,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,A,L,2003,1610612749,0,0,0,0,0,0,0,0,10,0,-9,0,0,0,1,0,3.6,0,0,0,roger-mason-1,89,2634,,,,-3.5
56,649,20300032,2429,1610612749,Dan,Gadzuric,17,3,8,0.375,0,0,0,0,3,0,3,5,1,5,1,0,0,6,H,W,2003,1610612741,0,0,0,0,6,2,0,0,17,0,17,2,2,2,8,12.70588235,16.94117647,2.117647059,2.117647059,4.235294118,dan-gadzuric-1,122,2940,,,,3.7
57,650,20300032,2437,1610612741,Lonny,Baxter,15,1,4,0.25,0,0,0,1,2,0.5,4,4,0,1,0,3,0,3,A,L,2003,1610612749,0,0,0,0,2,0,0,0,15,0,-15,0,0,0,8,7.2,19.2,0,0,0,lonny-baxter-1,138,3367,,,,0.8
58,689,20300034,2397,1610612745,Ming,Yao,37,7,11,0.636,0,1,0,5,9,0.556,1,9,0,2,0,2,3,19,H,L,2003,1610612763,0,0,0,0,12,1,0,1,37,0,-10,0,3,2,10,18.48648649,9.72972973,0,0,0,ming-yao-1,,,,,,15.2
59,690,20300034,2411,1610612745,Bostjan,Nachbar,6,0,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,H,L,2003,1610612763,0,0,0,0,0,0,0,0,6,0,-2,0,0,0,1,0,6,0,0,0,bostjan-nachbar-1,,,98,1833,3,-3.2
60,708,20300035,1938,1610612759,Manu,Ginobili,33,3,11,0.273,0,4,0,4,4,1,0,5,5,2,4,1,0,10,H,W,2003,1610612752,0,0,0,0,6,6,0,0,33,0,9,0,8,0,5,10.90909091,5.454545455,5.454545455,4.363636364,0,manu-ginobili-1,,,144,4341,4,10.7
61,711,20300035,2421,1610612752,Frank,Williams,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A,L,2003,1610612759,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,36,0,0,0,frank-williams-1,101,3201,,,,0.3
62,733,20300036,2401,1610612743,Nikoloz,Tskitishvili,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,H,W,2003,1610612758,0,0,0,0,0,0,0,0,1,56,-4,0,0,0,0,0,0,0,0,0,nikoloz-tskitishvili-1,,,17,176,1,-1.2
63,734,20300036,2403,1610612743,Nene,Hilario,17,3,8,0.375,0,0,0,1,1,1,0,3,1,4,0,1,0,7,H,W,2003,1610612758,0,0,0,0,4,3,0,0,16,31,7,0,5,0,3,14.82352941,6.352941176,2.117647059,0,0,nene-hilario-1,,,,,,1.6
64,752,20300037,2405,1610612756,Amar'e,Stoudemire,28,5,11,0.455,0,1,0,3,3,1,0,6,0,3,1,2,1,13,H,L,2003,1610612747,0,0,0,0,6,0,0,0,28,0,-6,2,2,0,6,16.71428571,7.714285714,0,1.285714286,2.571428571,amar'e-stoudemire-1,,,,,,7.6
65,753,20300037,2416,1610612747,Kareem,Rush,4,1,2,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,2,A,W,2003,1610612756,0,0,0,0,2,0,0,0,4,0,-1,0,0,0,1,18,9,0,0,0,kareem-rush-1,84,2536,,,,1.3
66,754,20300037,2418,1610612756,Casey,Jacobsen,15,1,3,0.333,0,2,0,0,0,0,0,2,0,1,1,1,0,2,H,L,2003,1610612747,0,0,0,0,2,0,0,0,15,0,7,0,2,0,2,4.8,4.8,0,2.4,0,casey-jacobsen-1,95,3021,,,,0.5
67,755,20300037,2456,1610612756,Cezary,Trybanski,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,L,2003,1610612747,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,cezary-trybanski-1,,,,,,0
68,775,20300038,2417,1610612757,Qyntel,Woods,17,5,8,0.625,3,3,1,0,0,0,1,3,2,0,1,0,0,13,H,W,2003,1610612739,0,0,0,0,2,0,0,0,16,42,20,1,0,0,4,27.52941176,8.470588235,4.235294118,2.117647059,2.117647059,qyntel-woods-1,,,,,,13.4
69,776,20300038,2430,1610612739,Carlos,Boozer,32,7,9,0.778,0,0,0,1,1,1,2,7,1,4,0,1,0,15,A,L,2003,1610612757,0,0,0,0,10,0,0,0,32,26,-11,1,0,4,9,16.875,10.125,1.125,0,1.125,carlos-boozer-1,101,2615,,,,13.1
70,797,20300039,2399,1610612744,Mike,Dunleavy,45,11,15,0.733,3,6,0.5,7,7,1,2,9,0,1,1,4,0,32,H,W,2003,1610612755,0,0,0,0,10,0,0,1,45,0,18,0,3,2,11,25.6,8.8,0,0.8,0,mike-dunleavy-1,111,3762,,,,26.6
71,798,20300039,2422,1610612755,John,Salmons,20,2,7,0.286,2,5,0.4,0,0,0,0,1,1,2,1,1,1,6,A,L,2003,1610612744,0,0,0,0,0,0,0,0,20,0,2,0,3,0,1,10.8,1.8,1.8,1.8,0,john-salmons-1,124,3819,,,,2.8
72,817,20300040,2399,1610612744,Mike,Dunleavy,34,4,18,0.222,2,9,0.222,0,1,0,1,6,4,1,0,4,0,10,A,L,2003,1610612747,0,0,0,0,4,3,0,0,34,0,-8,2,0,5,7,10.58823529,7.411764706,4.235294118,0,2.117647059,mike-dunleavy-1,111,3762,,,,-0.5
73,818,20300040,2416,1610612747,Kareem,Rush,13,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,H,W,2003,1610612744,0,0,0,0,0,0,0,0,13,0,-1,0,0,0,0,0,0,2.769230769,0,0,kareem-rush-1,84,2536,,,,-3.1
74,836,20300041,2400,1610612753,Drew,Gooden,40,5,12,0.417,0,0,0,4,6,0.667,3,6,1,3,0,3,3,14,H,L,2003,1610612752,0,0,0,0,2,0,0,0,39,43,6,2,7,1,9,12.6,8.1,0.9,0,1.8,drew-gooden-1,98,2567,,,,9.3
75,837,20300041,2421,1610612752,Frank,Williams,14,1,2,0.5,0,1,0,0,0,0,0,2,4,1,1,1,0,2,A,W,2003,1610612753,0,0,0,0,2,0,0,0,14,26,5,0,0,0,2,5.142857143,5.142857143,10.28571429,2.571428571,0,frank-williams-1,101,3201,,,,4
76,872,20300043,1938,1610612759,Manu,Ginobili,29,4,10,0.4,2,4,0.5,3,4,0.75,0,3,5,2,2,2,0,13,A,L,2003,1610612763,0,0,0,0,2,2,0,0,29,0,-11,2,0,0,3,16.13793103,3.724137931,6.206896552,2.482758621,2.482758621,manu-ginobili-1,,,144,4341,4,10.8
77,897,20300044,2366,1610612745,Mike,Wilks,9,1,3,0.333,0,1,0,0,0,0,0,0,1,0,1,0,0,2,A,W,2003,1610612741,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,8,0,4,4,0,mike-wilks-1,117,3767,,,,2
78,898,20300044,2397,1610612745,Ming,Yao,29,5,9,0.556,0,0,0,2,2,1,0,7,3,3,1,0,2,12,A,W,2003,1610612741,0,0,0,0,8,2,0,0,29,0,17,0,4,0,7,14.89655172,8.689655172,3.724137931,1.24137931,0,ming-yao-1,,,,,,13.1
79,899,20300044,2411,1610612745,Bostjan,Nachbar,22,4,4,1,4,4,1,0,0,0,0,0,2,1,0,1,1,12,A,W,2003,1610612741,0,0,0,0,0,0,0,0,22,0,18,0,0,3,0,19.63636364,0,3.272727273,0,0,bostjan-nachbar-1,,,98,1833,3,11.5
80,900,20300044,2427,1610612741,Roger,Mason,23,1,5,0.2,1,3,0.333,0,0,0,0,2,2,2,1,0,0,3,H,L,2003,1610612745,0,0,0,0,0,0,0,0,23,0,-16,1,0,0,2,4.695652174,3.130434783,3.130434783,1.565217391,1.565217391,roger-mason-1,89,2634,,,,2.1
81,901,20300044,2437,1610612741,Lonny,Baxter,9,2,5,0.4,0,0,0,0,0,0,0,0,0,1,0,1,1,4,H,L,2003,1610612745,0,0,0,0,4,0,0,0,9,0,-2,1,0,0,0,16,0,0,0,4,lonny-baxter-1,138,3367,,,,0.6
82,961,20300047,2417,1610612757,Qyntel,Woods,10,0,1,0,0,0,0,3,4,0.75,0,0,0,2,0,2,1,3,H,L,2003,1610612755,0,0,0,0,0,2,0,0,10,0,-7,1,3,0,0,10.8,0,0,0,3.6,qyntel-woods-1,,,,,,-0.2
83,962,20300047,2422,1610612755,John,Salmons,5,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,A,W,2003,1610612757,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7.2,0,0,john-salmons-1,124,3819,,,,-0.8
84,983,20300048,2403,1610612743,Nene,Hilario,19,0,2,0,0,0,0,3,5,0.6,1,2,1,4,1,3,1,3,A,L,2003,1610612754,0,0,0,0,0,0,0,0,19,0,-13,1,1,0,3,5.684210526,5.684210526,1.894736842,1.894736842,1.894736842,nene-hilario-1,,,,,,-0.1
85,984,20300048,2410,1610612754,Fred,Jones,17,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,H,W,2003,1610612743,0,0,0,0,0,0,0,0,17,0,-7,1,0,0,1,0,2.117647059,2.117647059,2.117647059,2.117647059,fred-jones-1,125,3525,,,,0
86,1002,20300049,2397,1610612745,Ming,Yao,37,4,10,0.4,0,0,0,2,3,0.667,0,11,1,2,0,4,1,10,A,W,2003,1610612751,0,0,0,0,2,0,0,1,36,51,8,0,2,2,11,9.72972973,10.7027027,0.972972973,0,0,ming-yao-1,,,,,,4.1
87,1003,20300049,2411,1610612745,Bostjan,Nachbar,6,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,A,W,2003,1610612751,0,0,0,0,0,0,0,0,6,4,1,0,0,0,1,0,6,6,0,0,bostjan-nachbar-1,,,98,1833,3,-0.4
88,1020,20300050,2409,1610612749,Marcus,Haislip,2,1,1,1,0,0,0,2,3,0.667,1,0,0,0,1,0,0,4,H,L,2003,1610612747,0,0,0,0,2,3,0,0,2,3,1,0,3,1,1,72,18,0,18,0,marcus-haislip-1,89,1521,,,,5
89,1021,20300050,2416,1610612747,Kareem,Rush,8,1,2,0.5,1,2,0.5,0,2,0,0,0,0,3,0,0,0,3,A,W,2003,1610612749,0,0,0,0,0,0,0,0,8,16,-6,0,0,0,0,13.5,0,0,0,0,kareem-rush-1,84,2536,,,,-2.22E-16
